Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/compare,648,441,22,536.2635652224222,2.1338462829589844,12485.99910736084,1027.013888888889,3.3030374082933913,2.247900458421891,22,37,51,60,2400,3100,5000,9200,12000,12000,12000,12000
POST,/compare,160,59,82,188.39336782693863,2.1970272064208984,3041.8360233306885,725.9375,0.8155647921712077,0.30073951711313285,82,95,110,120,450,770,1100,2700,3000,3000,3000,3000
GET,/date,607,398,21,558.2228103618842,2.068042755126953,12513.318061828613,909.339373970346,3.094048930299519,2.0287174205258793,21,35,52,78,2500,3000,5700,10000,13000,13000,13000,13000
POST,/date,209,77,81,1750.6223089957352,2.5396347045898438,94349.81298446655,49387.21052631579,1.06533150977364,0.3924905562323937,81,110,140,320,950,3000,17000,71000,94000,94000,94000,94000
GET,/distance,614,410,21,557.6584098393444,2.0852088928222656,12530.467748641968,855.5374592833876,3.1297298899570096,2.08988477993872,21,37,51,67,2300,4000,5700,7900,13000,13000,13000,13000
POST,/distance,167,81,74,216.8756787648458,2.3550987243652344,2600.86989402771,53665.886227544914,0.851245751828698,0.4128796760366739,74,96,110,150,770,1100,1500,2300,2600,2600,2600,2600
GET,/largest,658,450,23,667.5778656382691,2.0170211791992188,12853.711128234863,815.8784194528876,3.3540102078040914,2.2937759779815217,23,42,52,92,2600,3800,7900,11000,13000,13000,13000,13000
POST,/largest,171,81,74,216.49695279305442,2.1681785583496094,3086.657762527466,621.3801169590644,0.8716348716329783,0.4128796760366739,74,90,110,130,700,920,1300,2900,3100,3100,3100,3100
GET,/scale,642,433,22,613.543889232885,2.1491050720214844,18068.08114051819,858.1370716510903,3.272453728586971,2.2071222188133306,23,41,54,83,2600,3500,6400,10000,18000,18000,18000,18000
POST,/scale,204,82,82,2346.2577357011683,2.299070358276367,93467.51523017883,74289.17647058824,1.0398451100182897,0.4179769559877439,82,100,200,350,1600,10000,30000,78000,93000,93000,93000,93000
GET,/top_n,637,426,19,427.0072282764189,2.171754837036133,12498.582124710083,679.0423861852433,3.2469673288316208,2.1714412591558405,19,35,50,54,2200,2900,4400,5300,12000,12000,12000,12000
POST,/top_n,211,68,83,158.390502794094,2.286195755004883,1449.7296810150146,2358.260663507109,1.0755260696757802,0.3466150366727633,83,100,110,140,320,780,1200,1400,1400,1400,1400,1400
,Aggregated,4928,3006,29,632.1482365201045,2.0170211791992188,94349.81298446655,7796.716112012987,25.119395598873197,15.322423532916565,29,54,85,110,2100,3100,5400,10000,78000,94000,94000,94000
